,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,product_id,seller_id,price,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,payment_type,payment_installments,review_score,product_weight_g,product_category_name_english,seller_zip_code_prefix,seller_state,seller_state.1,total_payment
11,2c6a91479a7dc00d8c9d650d8dee88ca,84063,ponta grossa,PR,a009ada42a46d83328c627c1ffc57f56,9fc98e39f04be8e382d8aa5e259f5489,d2374cbcbb3ca4ab1086534108cc3ab7,44.9,2017-11-06 21:44:01,2017-11-20 21:34:36,2017-11-30 00:00:00,credit_card,2,5,600,bed_bath_table,14940,SP,SP,61
31,320500a8d9ebdeaffbd45c15601f701e,29785,vila valerio,ES,a0136785ec3c056ae845b0a1fd1578fd,e706fb211285b40b3555b302920e61fd,0ea22c1cfbdc755f86b9b54b39c16043,24.9,2017-06-12 07:38:17,2017-06-30 14:07:54,2017-07-05 00:00:00,boleto,1,5,200,fashion_bags_accessories,35700,MG,MG,276
32,320500a8d9ebdeaffbd45c15601f701e,29785,vila valerio,ES,a0136785ec3c056ae845b0a1fd1578fd,aacee6f1f7be193e891a8cca7a3a849a,0ea22c1cfbdc755f86b9b54b39c16043,79.9,2017-06-12 07:38:17,2017-06-30 14:07:54,2017-07-05 00:00:00,boleto,1,5,100,fashion_bags_accessories,35700,MG,MG,276
45,9cec8e7b4238494aca2d2db6f39909b2,13419,piracicaba,SP,a0171ff239b3463e4813e36663dac6f8,ae7a0b7f28e53b07d86e85f796d6e6de,827f8f69dfa529c561901c4f2e0f332f,35.9,2017-07-12 18:06:01,2017-07-18 23:04:08,2017-08-03 00:00:00,credit_card,1,5,500,fashion_shoes,81880,PR,PR,204
46,9cec8e7b4238494aca2d2db6f39909b2,13419,piracicaba,SP,a0171ff239b3463e4813e36663dac6f8,1a57051039dca27521c83e2212042176,827f8f69dfa529c561901c4f2e0f332f,35.9,2017-07-12 18:06:01,2017-07-18 23:04:08,2017-08-03 00:00:00,credit_card,1,5,500,fashion_shoes,81880,PR,PR,204
77,1b8ed575bcaf2eb6f3bcd2d53ac21831,11900,registro,SP,a027e89cd6295407d6e1f2d2a8f73523,cc63d91555437d9d8d9ae7bf007a1f2c,7ad32824caee82087b3e2e5f33b1bf32,45.0,2018-06-09 11:13:03,2018-06-15 18:03:34,2018-06-28 00:00:00,credit_card,8,1,650,bed_bath_table,14940,SP,SP,232
78,1b8ed575bcaf2eb6f3bcd2d53ac21831,11900,registro,SP,a027e89cd6295407d6e1f2d2a8f73523,4660b448a9e1499945013a9fb3f11ec4,7ad32824caee82087b3e2e5f33b1bf32,45.0,2018-06-09 11:13:03,2018-06-15 18:03:34,2018-06-28 00:00:00,credit_card,8,1,700,bed_bath_table,14940,SP,SP,232
105,cb644c8c88c4705149fc0c7dd12d596d,85950,palotina,PR,a03ad7057fae696dd18f8967826c209f,941fede5c398c3c84cac6e6c832c2b11,c68fb906c8f4b4b946d8386bfa6e5467,52.88,2017-06-05 13:24:46,2017-06-16 14:04:09,2017-06-28 00:00:00,voucher,1,5,3000,housewares,14870,SP,SP,77
106,cb644c8c88c4705149fc0c7dd12d596d,85950,palotina,PR,a03ad7057fae696dd18f8967826c209f,941fede5c398c3c84cac6e6c832c2b11,c68fb906c8f4b4b946d8386bfa6e5467,52.88,2017-06-05 13:24:46,2017-06-16 14:04:09,2017-06-28 00:00:00,credit_card,1,5,3000,housewares,14870,SP,SP,77
107,7d834f25bc4e9c7905f9e31e1c94c51b,8382,sao paulo,SP,a03ba18c4454de2b89c3950fadd3748e,dbb67791e405873b259e4656bf971246,9c0e69c7bf2619675bbadf47b43f655a,81.99,2018-03-19 16:44:28,2018-03-27 02:04:01,2018-04-16 00:00:00,boleto,1,4,207,computers_accessories,12230,SP,SP,362
108,7d834f25bc4e9c7905f9e31e1c94c51b,8382,sao paulo,SP,a03ba18c4454de2b89c3950fadd3748e,18486698933fbb64af6c0a255f7dd64c,6973a06f484aacf400ece213dbf3d946,83.49,2018-03-19 16:44:28,2018-03-27 02:04:01,2018-04-16 00:00:00,boleto,1,4,225,computers_accessories,12230,SP,SP,362
113,704d4446bffad3f1d6b73a58426af36a,34800,caete,MG,a04084799bcf2107344626146b5f70fe,e33df02e384487f2bcd3788619f89215,53e4c6e0f4312d4d2107a8c9cddf45cd,17.0,2018-04-16 08:16:46,2018-04-30 16:42:36,2018-05-08 00:00:00,boleto,1,5,350,housewares,13920,SP,SP,33
128,d2c416a539648f1a516b9e18d0725388,26900,miguel pereira,RJ,a04b5357c7eb10bccebd46d6d051e8b0,9bc39c44d241610638729a32026eb37a,cfb1a033743668a192316f3c6d1d2671,269.0,2017-10-15 19:17:06,2017-10-24 20:03:20,2017-11-07 00:00:00,credit_card,8,1,6300,bed_bath_table,18110,SP,SP,812
129,d2c416a539648f1a516b9e18d0725388,26900,miguel pereira,RJ,a04b5357c7eb10bccebd46d6d051e8b0,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,89.9,2017-10-15 19:17:06,2017-10-24 20:03:20,2017-11-07 00:00:00,credit_card,8,1,1383,bed_bath_table,14940,SP,SP,812
133,c0ab0c71f36879a7e904700157a6d88c,13905,amparo,SP,a04e5564f7cbcf78fee1ccaab8d3b0f2,21efeb0e47f3328f86002eda80b63321,dc8798cbf453b7e0f98745e396cc5616,24.9,2017-04-20 12:22:59,2017-05-24 11:12:30,2017-05-10 00:00:00,voucher,1,4,100,fashion_male_clothing,5455,SP,SP,35
139,eaf8b1aa185199a62be13fe370e82ad1,12712,cruzeiro,SP,a05515a2b77ea6b669bd02c1694ea20e,ecbd7c0c31f1779002f5a78b2a1873ae,bf3c6d2a28b2b5501e6c15448982dcc9,38.0,2017-12-04 09:08:22,2017-12-26 16:38:38,2017-12-27 00:00:00,credit_card,3,4,183,baby,4180,SP,SP,49
157,c6a49ed851473cd57dca5baa77595fe7,25926,mage,RJ,a060fc338651aeef386d5a7972da2d63,7935ddc510afb7d08989660b382b7f26,3d871de0142ce09b7081e2b9d1733cb1,89.0,2017-12-03 17:22:35,2017-12-16 02:22:15,2018-01-05 00:00:00,boleto,1,1,7700,stationery,13232,SP,SP,362
158,c6a49ed851473cd57dca5baa77595fe7,25926,mage,RJ,a060fc338651aeef386d5a7972da2d63,0979deef723cf684a3aa7e4303f99fe3,3d871de0142ce09b7081e2b9d1733cb1,59.0,2017-12-03 17:22:35,2017-12-16 02:22:15,2018-01-05 00:00:00,boleto,1,1,450,stationery,13232,SP,SP,362
190,369cf098450e6de108ffa64f68b713a1,68700,capanema,PA,a079628ac8002126e75f86b0f87332e4,0983cd4a5cabf1099659ce461511963c,3d2531eccfbde1d7c8db7a3a12fb267a,99.99,2018-04-24 10:19:45,2018-05-14 19:12:50,2018-05-29 00:00:00,debit_card,1,1,350,health_beauty,31340,MG,MG,152
